internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22679770,Dendrocygna arborea,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Dendrocygna,arborea,,,,,"(Linnaeus, 1758)",
22679393,Polyplectron schleiermacheri,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Polyplectron,schleiermacheri,,,,,"Brüggemann, 1877",
22720960,Emberiza rustica,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EMBERIZIDAE,Emberiza,rustica,,,,,"Pallas, 1776",
22694136,Glareola nordmanni,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,GLAREOLIDAE,Glareola,nordmanni,,,,,"Fischer, 1842",
22728245,Chlamydotis undulata,ANIMALIA,CHORDATA,OTIDIFORMES,AVES,OTIDIDAE,Chlamydotis,undulata,,,,,"(Jacquin, 1784)","<p><em>Chlamydotis undulata </em>and<em> C. macqueenii </em>(del Hoyo and Collar 2014) were previously lumped as <em>C. undulata </em>following Sibley and Monroe (1990, 1993).<em> &#160;</em></p>"
22720676,Pyrrhula murina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Pyrrhula,murina,,,,,"Godman, 1866",
22678073,Rhea americana,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,RHEIDAE,Rhea,americana,,,,,"(Linnaeus, 1758)",
22678122,Apteryx australis,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,APTERYGIDAE,Apteryx,australis,,,,,"Shaw, 1813","<em>Apteryx</em><em><em> australis</em></em><em><em><em></em>, <em>A.</em> </em> mantelli</em><em> </em>and <em>A. rowi </em>(del Hoyo and Collar 2014) were previously treated as <em>A.</em><em><em> australis</em></em><em><em><em></em></em></em> and <em>A. mantelli</em> (incorporating <em>rowi</em>)  following Baker <em>et al.</em> (1995); prior to that all three taxa were lumped as <em>A. australis</em> following Sibley and Monroe (1990, 1993).<p></p>"
22678129,Apteryx owenii,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,APTERYGIDAE,Apteryx,owenii,,,,,"Gould, 1847",
22678132,Apteryx haastii,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,APTERYGIDAE,Apteryx,haastii,,,,,"Potts, 1872",
22678135,Tinamus tao,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Tinamus,tao,,,,,"Temminck, 1815",
22678139,Tinamus solitarius,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Tinamus,solitarius,,,,,"(Vieillot, 1819)",
22678145,Tinamus osgoodi,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Tinamus,osgoodi,,,,,"Conover, 1949",
22678151,Tinamus guttatus,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Tinamus,guttatus,,,,,"Pelzeln, 1863",
22678160,Nothocercus nigrocapillus,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Nothocercus,nigrocapillus,,,,,"(G. R. Gray, 1867)",
22678185,Crypturellus transfasciatus,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Crypturellus,transfasciatus,,,,,"(Sclater & Salvin, 1878)",
